1480.098000,-0.003391
1480.580000,-0.002753
1481.062000,-0.002039
1481.545000,-0.001250
1482.027000,-0.000385
1482.509000,0.000556
1482.991000,0.001572
1483.473000,0.002663
1483.955000,0.003830
1484.437000,0.005073
1484.919000,0.006391
1485.401000,0.007785
1485.884000,0.009255
1486.366000,0.010800
1486.848000,0.012420
1487.330000,0.014116
1487.812000,0.016321
1488.294000,0.018610
1488.776000,0.020947
1489.258000,0.023296
1489.740000,0.025620
1490.223000,0.027890
1490.705000,0.030075
1491.187000,0.032153
1491.669000,0.034102
1492.151000,0.035910
1492.633000,0.037567
1493.115000,0.039072
1493.597000,0.040429
1494.080000,0.041649
1494.562000,0.042749
1495.044000,0.043755
1495.526000,0.044692
1496.008000,0.045591
1496.490000,0.046475
1496.972000,0.047363
1497.454000,0.048269
1497.937000,0.049203
1498.419000,0.050174
1498.901000,0.051194
1499.383000,0.052278
1499.865000,0.053442
1500.347000,0.054702
1500.829000,0.056069
1501.311000,0.057547
1501.793000,0.059131
1502.276000,0.060811
1502.758000,0.062581
1503.240000,0.064440
1503.722000,0.066398
1504.204000,0.068463
1504.686000,0.070646
1505.168000,0.072955
1505.650000,0.075394
1506.132000,0.077966
1506.615000,0.080668
1507.097000,0.083500
1507.579000,0.086457
1508.061000,0.089538
1508.543000,0.092738
1509.025000,0.096051
1509.507000,0.099471
1509.989000,0.102986
1510.472000,0.106575
1510.954000,0.110210
1511.436000,0.113857
1511.918000,0.117484
1512.400000,0.121065
1512.882000,0.124589
1513.364000,0.128051
1513.846000,0.131451
1514.328000,0.134791
1514.811000,0.138077
1515.293000,0.141319
1515.775000,0.144533
1516.257000,0.147737
1516.739000,0.150955
1517.221000,0.154205
1517.703000,0.157508
1518.185000,0.160876
1518.667000,0.164318
1519.150000,0.167836
1519.632000,0.171433
1520.114000,0.175107
1520.596000,0.178858
1521.078000,0.182686
1521.560000,0.186593
1522.042000,0.190583
1522.524000,0.194667
1523.007000,0.198853
1523.489000,0.203146
1523.971000,0.207542
1524.453000,0.212029
1524.935000,0.216586
1525.417000,0.221189
1525.899000,0.225818
1526.381000,0.230467
1526.864000,0.235138
1527.346000,0.239843
1527.828000,0.244590
1528.310000,0.249388
1528.792000,0.254239
1529.274000,0.259144
1529.756000,0.264101
1530.238000,0.269104
1530.720000,0.274138
1531.203000,0.279187
1531.685000,0.284230
1532.167000,0.289246
1532.649000,0.294218
1533.131000,0.299130
1533.613000,0.303973
1534.095000,0.308739
1534.577000,0.313422
1535.059000,0.318017
1535.542000,0.322521
1536.024000,0.326928
1536.506000,0.331235
1536.988000,0.335432
1537.470000,0.339505
1537.952000,0.343437
1538.434000,0.347207
1538.916000,0.350797
1539.399000,0.354185
1539.881000,0.357343
1540.363000,0.360244
1540.845000,0.362866
1541.327000,0.365202
1541.809000,0.367245
1542.291000,0.368985
1542.773000,0.370408
1543.255000,0.371495
1543.738000,0.372225
1544.220000,0.372577
1544.702000,0.372530
1545.184000,0.372071
1545.666000,0.371189
1546.148000,0.369881
1546.630000,0.368147
1547.112000,0.365984
1547.594000,0.363391
1548.077000,0.360364
1548.559000,0.356901
1549.041000,0.353004
1549.523000,0.348683
1550.005000,0.343953
1550.487000,0.338836
1550.969000,0.333361
1551.451000,0.327558
1551.934000,0.321461
1552.416000,0.315102
1552.898000,0.308507
1553.380000,0.301700
1553.862000,0.294695
1554.344000,0.287508
1554.826000,0.280167
1555.308000,0.272712
1555.791000,0.265187
1556.273000,0.257634
1556.755000,0.250092
1557.237000,0.242592
1557.719000,0.235170
1558.201000,0.227855
1558.683000,0.220679
1559.165000,0.213670
1559.647000,0.206857
1560.130000,0.200266
1560.612000,0.193920
1561.094000,0.187835
1561.576000,0.182027
1562.058000,0.176509
1562.540000,0.171295
1563.022000,0.166396
1563.504000,0.161828
1563.986000,0.157608
1564.469000,0.153760
1564.951000,0.150311
1565.433000,0.147281
1565.915000,0.144674
1566.397000,0.142483
1566.879000,0.140693
1567.361000,0.139289
1567.843000,0.138258
1568.326000,0.137588
1568.808000,0.137273
1569.290000,0.137308
1569.772000,0.137688
1570.254000,0.138410
1570.736000,0.139466
1571.218000,0.140850
1571.700000,0.142550
1572.182000,0.144556
1572.665000,0.146857
1573.147000,0.149441
1573.629000,0.152297
1574.111000,0.155415
1574.593000,0.158783
1575.075000,0.162390
1575.557000,0.166222
1576.039000,0.170262
1576.521000,0.174491
1577.004000,0.178887
1577.486000,0.183428
1577.968000,0.188101
1578.450000,0.192898
1578.932000,0.197814
1579.414000,0.202840
1579.896000,0.207954
1580.378000,0.213135
1580.861000,0.218362
1581.343000,0.223624
1581.825000,0.228910
1582.307000,0.234213
1582.789000,0.239526
1583.271000,0.244840
1583.753000,0.250145
1584.235000,0.255433
1584.718000,0.260692
1585.200000,0.265913
1585.682000,0.271087
1586.164000,0.276205
1586.646000,0.281263
1587.128000,0.286256
1587.610000,0.291178
1588.092000,0.296026
1588.574000,0.300795
1589.057000,0.305479
1589.539000,0.310073
1590.021000,0.314568
1590.503000,0.318956
1590.985000,0.323229
1591.467000,0.327382
1591.949000,0.331411
1592.431000,0.335316
1592.913000,0.339096
1593.396000,0.342750
1593.878000,0.346280
1594.360000,0.349681
1594.842000,0.352951
1595.324000,0.356083
1595.806000,0.359073
1596.288000,0.361914
1596.770000,0.364600
1597.253000,0.367128
1597.735000,0.369495
1598.217000,0.371700
1598.699000,0.373745
1599.181000,0.375633
1599.663000,0.377369
1600.145000,0.378961
1600.627000,0.380415
1601.109000,0.381743
1601.592000,0.382956
1602.074000,0.384070
